roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
0.412923222,0.369346658,0.299467859,0.804765929,0.12589177,0.981704535,0.140258832,0.283446481,0.05944148,0.027782772,0.001496623,0.001464129,0.814814815,0.501973448,0.125,0.764507758,0.803200083,0.604236724,0.452008212,0.39049141,0.824547988,0.113066532,0.159887465,0.029606697,0.217266161,0.406873715,0.000256075,0.212022634,0.767835178,0.445105574,0.755807028
0.121407127,0.784070106,0.672392507,0.446239648,0.025682965,0.750479058,0.576775096,0.66520341,0.031347962,0.001951561,0.004051834,0.000292826,0.814814815,0.501973448,0.125,0.607236854,0.714254326,0.005482859,0.340690363,0.140950859,0.104078332,0.300664003,0.335084578,0.565735407,0.199594179,0.411424943,0.25269324,0.177665359,0.89298893,0.630676418,0.78269378
0.065088675,0.853455779,0.800297999,0.537096502,0.038350444,0.701888858,0.565932144,0.77959267,0.041924908,0.004148292,0.010403358,0.001171303,0.814814815,0.501973448,0.125,0.68299192,0.843033099,0.008711644,0.344732452,0.188254095,0.126314743,0.123911322,0.154073183,0.462132237,0.254818006,0.489385509,0.172003361,0.090690109,0.926199262,0.756332383,0.899089594
0.173625396,0.706521413,0.57767135,0.374108501,0.0181834,0.763253947,0.621895768,0.572814047,0.02783029,0.001032987,0.016207337,0.000585652,0.814814815,0.501973448,0.125,0.448199069,0.496232536,0.074449693,0.110291287,0.120415501,0.283066912,0.350065381,0.412456649,0.144881312,0.347200372,0.476306399,0.016419737,0.163398648,0.941266913,0.690632618,0.810516464
0.047450937,0.934605804,0.847765006,0.558627683,0.042039325,0.773336983,0.477439664,0.844112092,0.03433918,0.0046844,0.000657054,0,0.814814815,0.501973448,0.125,0.439879999,0.548563452,0.18869531,0.245925831,0.16795845,0.426196603,0.395966794,0.417453465,0.08162868,0.452669122,0.534791944,0.004735904,0.237833665,0.889298893,0.53613487,0.716412831
0,1,1,0.510123373,0.034122151,0.762478328,0.742567331,1,0.032616239,0.003242794,0.002847235,0,0.814814815,0.501973448,0.125,0.62961736,0.701691805,0.199390423,0.481971,0.381861766,0.591325659,0.393495525,0.405439168,0.093922709,0.245173055,0.347662393,0.005432984,0.175976787,0.894526445,0.619437213,0.786777844
0.207886251,0.591098707,0.524648787,0.480141964,0.029911258,0.787708733,0.729275971,0.520800368,0.028069588,0.002520357,0.004270852,0,0.814814815,0.501973448,0.125,0.605893288,0.611854264,0.158131831,0.10259207,0.037554934,0.414038455,0.28540452,0.469392738,0.095122832,0.421857122,0.567482158,0.006370842,0.231906432,0.86900369,0.531796207,0.726537905
0.083588147,0.735512139,0.754640272,0.527857585,0.036854011,0.650926179,0.774746415,0.721759992,0.048026993,0.003988114,0.011717467,0.000292826,0.814814815,0.501973448,0.125,0.656948816,0.723637445,0.017395659,0.201462851,0.068957251,0.146903304,0.267559802,0.263698776,0.296592389,0.333988844,0.582012822,0.070421275,0.066436699,0.960332103,0.859592579,0.921892283
0.229749263,0.578043876,0.493848446,0.525435187,0.036471202,0.760242723,0.592864638,0.481904956,0.033764866,0.00366122,0.000219018,0,0.814814815,0.501973448,0.125,0.492407929,0.55686092,0.00745927,0.119658668,0.068477827,0.101543473,0.161742124,0.284280558,0.471623832,0.362887943,0.547644248,0.183966503,0.346281351,0.809348093,0.397338953,0.601888879
0.127050092,0.737913028,0.661196254,0.524928173,0.0363842,0.795282416,0.603008045,0.660507376,0.029409653,0.003569689,0.004343858,0,0.814814815,0.501973448,0.125,0.452653084,0.516834038,0.136653382,0.131592455,0.165561326,0.380240334,0.434616354,0.477903603,0.10303464,0.46624714,0.504762913,0.007469749,0.197928225,0.914514145,0.550679724,0.766527695
0.157877912,0.625761532,0.604299702,0.440594896,0.02502175,0.646683092,0.819517314,0.573324486,0.044509321,0.00198425,0.002810732,0.001171303,0.814814815,0.501973448,0.125,0.549205823,0.603324157,0.041690647,0.117798024,0.12057531,0.240551628,0.277036997,0.376772241,0.203954424,0.307565789,0.459991533,0.032572144,0.242210169,0.871771218,0.514772117,0.71403046
0.216114416,0.575672999,0.512792678,0.570255197,0.044162172,0.641846884,0.51381602,0.474860906,0.052358276,0.005540863,0.006972075,0,0.814814815,0.501973448,0.125,0.601807373,0.711643597,0.010240119,0.283844476,0.218138234,0.108796305,0.257404208,0.311579022,0.404796569,0.190369351,0.210369542,0.137679677,0.0952527,0.944341943,0.622247015,0.881562154
0.182409518,0.684673329,0.563473819,0.512928849,0.03455716,0.780500046,0.492130115,0.557756113,0.030534351,0.003282022,0.003942325,0,0.814814815,0.501973448,0.125,0.546849981,0.564085663,0.029868678,0.12049275,0.087894527,0.19751255,0.327811968,0.406069078,0.240852596,0.363683495,0.546510221,0.045776336,0.299035791,0.841328413,0.447791414,0.64791968
0.061961417,0.885177516,0.808407833,0.503937806,0.033217331,0.793503057,0.606155999,0.812260732,0.028476393,0.003033582,0.003212265,0.000292826,0.814814815,0.501973448,0.125,0.574751992,0.603272459,0.298481623,0.155010907,0.0776668,0.483813988,0.402333909,0.424906221,0.053784524,0.466416977,0.568147454,0.001979474,0.204716975,0.886223862,0.52113549,0.752403642
0.071718463,0.779178296,0.783482333,0.515982198,0.03500957,0.665845424,0.747114376,0.75504058,0.045346862,0.003602378,0.005949991,0.000292826,0.814814815,0.501973448,0.125,1,0.874878834,0.589539466,0.397921211,0.331042749,0.868936697,0.167800331,0.284103617,0.031004053,0.335678275,0.546721906,0.000222162,0.061684575,0.933886839,0.719267799,0.925891262
0.15518152,0.680021608,0.609003831,0.592011718,0.048425265,0.69604891,0.458551941,0.581236282,0.047069803,0.006312335,0.002701223,0.000878477,0.814814815,0.501973448,0.125,0.751200928,0.644604707,0.115014526,0.086038753,0.143507791,0.364067703,0.137038437,0.232426216,0.111853779,0.419005649,0.533158945,0.009477796,0.17821673,0.884378844,0.644270898,0.80277376
0.180449769,0.576813421,0.566581524,0.445901639,0.025630764,0.667122913,0.882126618,0.539635547,0.041996698,0.002049629,0.006461033,0,0.814814815,0.501973448,0.125,0.301161357,0.494785003,0.012173621,0.214936481,0.214542549,0.114061012,0.321003983,0.40175384,0.355762025,0.272087743,0.338801863,0.106790526,0.131522541,0.963099631,0.704103136,0.84769846
0.072260521,0.718645899,0.782141337,0.566277956,0.043413955,0.585272379,0.794333683,0.730590577,0.059800426,0.005570284,0.019675123,0.000585652,0.814814815,0.501973448,0.125,0.618482322,0.704134517,0.040369298,0.302515078,0.177227327,0.242425053,0.250051885,0.257817255,0.214514225,0.244788687,0.433243619,0.036763573,0.138931582,0.916051661,0.767282344,0.838339147
